ID,PROVINSI_ID,KOTA
2105,21,KEPULAUAN ANAMBAS
2171,21,B A T A M
2172,21,TANJUNG PINANG
3101,31,KEPULAUAN SERIBU
3171,31,JAKARTA SELATAN
3172,31,JAKARTA TIMUR
3173,31,JAKARTA PUSAT
3174,31,JAKARTA BARAT
3175,31,JAKARTA UTARA
3279,32,BANJAR
6303,63,BANJAR
3203,32,CIANJUR
3216,32,BEKASI
3205,32,GARUT
3207,32,CIAMIS
3208,32,KUNINGAN
5206,52,BIMA
3210,32,MAJALENGKA
3211,32,SUMEDANG
3212,32,INDRAMAYU
3213,32,SUBANG
3214,32,PURWAKARTA
3215,32,KARAWANG
3217,32,BANDUNG BARAT
3218,32,PANGANDARAN
3505,35,BLITAR
3201,32,BOGOR
3209,32,CIREBON
3276,32,DEPOK
3277,32,CIMAHI
7502,75,GORONTALO
3301,33,CILACAP
3302,33,BANYUMAS
3303,33,PURBALINGGA
3304,33,BANJARNEGARA
3305,33,KEBUMEN
3306,33,PURWOREJO
3307,33,WONOSOBO
3309,33,BOYOLALI
3310,33,KLATEN
3311,33,SUKOHARJO
3312,33,WONOGIRI
3313,33,KARANGANYAR
3314,33,SRAGEN
3315,33,GROBOGAN
3316,33,BLORA
3317,33,REMBANG
3318,33,PATI
3319,33,KUDUS
3320,33,JEPARA
3321,33,DEMAK
9403,94,JAYAPURA
3323,33,TEMANGGUNG
3324,33,KENDAL
3325,33,BATANG
3327,33,PEMALANG
3506,35,KEDIRI
3329,33,BREBES
3372,33,SURAKARTA
3373,33,SALATIGA
5303,53,KUPANG
3519,35,MADIUN
3401,34,KULON PROGO
3402,34,BANTUL
3403,34,GUNUNG KIDUL
3404,34,SLEMAN
3471,34,YOGYAKARTA
3501,35,PACITAN
3502,35,PONOROGO
3503,35,TRENGGALEK
3504,35,TULUNGAGUNG
3308,33,MAGELANG
3508,35,LUMAJANG
3509,35,JEMBER
3510,35,BANYUWANGI
3511,35,BONDOWOSO
3512,35,SITUBONDO
3507,35,MALANG
3515,35,SIDOARJO
3516,35,MOJOKERTO
3517,35,JOMBANG
3518,35,NGANJUK
3520,35,MAGETAN
3521,35,NGAWI
3522,35,BOJONEGORO
3523,35,TUBAN
3524,35,LAMONGAN
3525,35,GRESIK
3526,35,BANGKALAN
3527,35,SAMPANG
3528,35,PAMEKASAN
3529,35,SUMENEP
3514,35,PASURUAN
3326,33,PEKALONGAN
3513,35,PROBOLINGGO
3322,33,SEMARANG
3578,35,SURABAYA
3579,35,BATU
3601,36,PANDEGLANG
3602,36,LEBAK
3604,36,SERANG
3672,36,CILEGON
1303,13,SOLOK
3674,36,TANGERANG SELATAN
5101,51,JEMBRANA
5102,51,TABANAN
5103,51,BADUNG
5104,51,GIANYAR
5105,51,KLUNGKUNG
5106,51,BANGLI
5107,51,KARANG ASEM
5108,51,BULELENG
5171,51,DENPASAR
5201,52,LOMBOK BARAT
5202,52,LOMBOK TENGAH
5203,52,LOMBOK TIMUR
5204,52,SUMBAWA
5205,52,DOMPU
5207,52,SUMBAWA BARAT
5208,52,LOMBOK UTARA
5271,52,MATARAM
9107,91,SORONG
5301,53,SUMBA BARAT
5302,53,SUMBA TIMUR
5304,53,TIMOR TENGAH SELATAN
5305,53,TIMOR TENGAH UTARA
5306,53,BELU
5307,53,ALOR
5308,53,LEMBATA
5309,53,FLORES TIMUR
5310,53,SIKKA
5311,53,ENDE
5312,53,NGADA
5313,53,MANGGARAI
5314,53,ROTE NDAO
5315,53,MANGGARAI BARAT
5316,53,SUMBA TENGAH
5317,53,SUMBA BARAT DAYA
5318,53,NAGEKEO
5319,53,MANGGARAI TIMUR
5320,53,SABU RAIJUA
5321,53,MALAKA
3202,32,SUKABUMI
6101,61,SAMBAS
6102,61,BENGKAYANG
6103,61,LANDAK
6104,61,MEMPAWAH
6105,61,SANGGAU
6106,61,KETAPANG
6107,61,SINTANG
6108,61,KAPUAS HULU
6109,61,SEKADAU
6110,61,MELAWI
6111,61,KAYONG UTARA
6112,61,KUBU RAYA
6171,61,PONTIANAK
6172,61,SINGKAWANG
6201,62,KOTAWARINGIN BARAT
6202,62,KOTAWARINGIN TIMUR
6203,62,KAPUAS
6204,62,BARITO SELATAN
6205,62,BARITO UTARA
6206,62,SUKAMARA
6207,62,LAMANDAU
6208,62,SERUYAN
6209,62,KATINGAN
6210,62,PULANG PISAU
6211,62,GUNUNG MAS
6212,62,BARITO TIMUR
6213,62,MURUNG RAYA
6271,62,PALANGKA RAYA
6301,63,TANAH LAUT
6302,63,BARU
6304,63,BARITO KUALA
6305,63,TAPIN
6306,63,HULU SUNGAI SELATAN
6307,63,HULU SUNGAI TENGAH
6308,63,HULU SUNGAI UTARA
6309,63,TABALONG
6310,63,TANAH BUMBU
6311,63,BALANGAN
6371,63,BANJARMASIN
6372,63,BANJAR BARU
6401,64,PASER
6402,64,KUTAI BARAT
6403,64,KUTAI KARTANEGARA
6404,64,KUTAI TIMUR
6405,64,BERAU
6409,64,PENAJAM PASER UTARA
6411,64,MAHAKAM HULU
6471,64,BALIKPAPAN
6472,64,SAMARINDA
6474,64,BONTANG
6501,65,MALINAU
6502,65,BULUNGAN
6503,65,TANA TIDUNG
6504,65,NUNUKAN
6571,65,TARAKAN
7101,71,BOLAANG MONGONDOW
7102,71,MINAHASA
7103,71,KEPULAUAN SANGIHE
7104,71,KEPULAUAN TALAUD
7105,71,MINAHASA SELATAN
7106,71,MINAHASA UTARA
7107,71,BOLAANG MONGONDOW UTARA
7108,71,SIAU TAGULANDANG BIARO
7109,71,MINAHASA TENGGARA
7110,71,BOLAANG MONGONDOW SELATAN
7111,71,BOLAANG MONGONDOW TIMUR
7171,71,MANADO
7172,71,BITUNG
7173,71,TOMOHON
7174,71,KOTAMOBAGU
7201,72,BANGGAI KEPULAUAN
7202,72,BANGGAI
7203,72,MOROWALI
7204,72,POSO
7205,72,DONGGALA
7206,72,TOLI-TOLI
7207,72,BUOL
7208,72,PARIGI MOUTONG
7209,72,TOJO UNA-UNA
7210,72,SIGI
7211,72,BANGGAI LAUT
7212,72,MOROWALI UTARA
7271,72,PALU
7301,73,KEPULAUAN SELAYAR
7302,73,BULUKUMBA
7303,73,BANTAENG
7304,73,JENEPONTO
7305,73,TAKALAR
7306,73,GOWA
7307,73,SINJAI
7308,73,MAROS
7309,73,PANGKAJENE DAN KEPULAUAN
7310,73,BARRU
7311,73,BONE
7312,73,SOPPENG
7313,73,WAJO
7314,73,SIDENRENG RAPPANG
7315,73,PINRANG
7316,73,ENREKANG
7317,73,LUWU
7318,73,TANA TORAJA
7322,73,LUWU UTARA
7325,73,LUWU TIMUR
7326,73,TORAJA UTARA
7371,73,MAKASSAR
7372,73,PAREPARE
7373,73,PALOPO
7401,74,BUTON
7402,74,MUNA
7403,74,KONAWE
7404,74,KOLAKA
7405,74,KONAWE SELATAN
7406,74,BOMBANA
7407,74,WAKATOBI
7408,74,KOLAKA UTARA
7409,74,BUTON UTARA
7410,74,KONAWE UTARA
7411,74,KOLAKA TIMUR
7412,74,KONAWE KEPULAUAN
7413,74,MUNA BARAT
7414,74,BUTON TENGAH
7415,74,BUTON SELATAN
7471,74,KENDARI
7472,74,BAUBAU
7501,75,BOALEMO
3603,36,TANGERANG
7503,75,POHUWATO
7504,75,BONE BOLANGO
7505,75,GORONTALO UTARA
7601,76,MAJENE
7602,76,POLEWALI MANDAR
7603,76,MAMASA
7604,76,MAMUJU
7605,76,MAMUJU UTARA
7606,76,MAMUJU TENGAH
8101,81,MALUKU TENGGARA BARAT
8102,81,MALUKU TENGGARA
8103,81,MALUKU TENGAH
8104,81,BURU
8105,81,KEPULAUAN ARU
8106,81,SERAM BAGIAN BARAT
8107,81,SERAM BAGIAN TIMUR
8108,81,MALUKU BARAT DAYA
8109,81,BURU SELATAN
8171,81,AMBON
8172,81,TUAL
8201,82,HALMAHERA BARAT
8202,82,HALMAHERA TENGAH
8203,82,KEPULAUAN SULA
8204,82,HALMAHERA SELATAN
8205,82,HALMAHERA UTARA
8206,82,HALMAHERA TIMUR
8207,82,PULAU MOROTAI
8208,82,PULAU TALIABU
8271,82,TERNATE
8272,82,TIDORE KEPULAUAN
9101,91,FAKFAK
9102,91,KAIMANA
9103,91,TELUK WONDAMA
9104,91,TELUK BINTUNI
9105,91,MANOKWARI
9106,91,SORONG SELATAN
3206,32,TASIKMALAYA
9108,91,RAJA AMPAT
9109,91,TAMBRAUW
9110,91,MAYBRAT
9111,91,MANOKWARI SELATAN
9112,91,PEGUNUNGAN ARFAK
9401,94,MERAUKE
9402,94,JAYAWIJAYA
3328,33,TEGAL
9404,94,NABIRE
9408,94,KEPULAUAN YAPEN
9409,94,BIAK NUMFOR
9410,94,PANIAI
9411,94,PUNCAK JAYA
9412,94,MIMIKA
9413,94,BOVEN DIGOEL
9414,94,MAPPI
9415,94,ASMAT
9416,94,YAHUKIMO
9417,94,PEGUNUNGAN BINTANG
9418,94,TOLIKARA
9419,94,SARMI
9420,94,KEEROM
9426,94,WAROPEN
9427,94,SUPIORI
9428,94,MAMBERAMO RAYA
9429,94,NDUGA
9430,94,LANNY JAYA
9431,94,MAMBERAMO TENGAH
9432,94,YALIMO
9433,94,PUNCAK
9434,94,DOGIYAI
9435,94,INTAN JAYA
9436,94,DEIYAI
